,chroma_mean,chroma_var,rms_mean,rms_var,cent_mean,cent_var,spec_bw_mean,spec_bw_var,rolloff_mean,rolloff_var,zero_mean,zero_var,tempo,mfcc_mean,mfcc_var,genres
0,0.3501285,0.08877166,0.13018432,0.00282838,1784.1226409867395,129745.48453872248,2002.4124070990924,85834.4103621946,3805.7230301080335,901252.916706492,0.0830448206689868,0.000766945654594,123.046875,1.9366392,1767.5433,blues
1,0.3408494,0.09497617,0.09590782,0.0023727198,1530.2617668815155,375915.50852199737,2038.987608168796,213905.10295057183,3550.7136156830047,2978310.9040219653,0.0560398087055297,0.001447521491359,107.666015625,-0.057254747,3606.439,blues
2,0.36353773,0.08525664,0.17547321,0.002750858,1552.8324813719914,156471.01101167462,1747.7540869151055,76295.4134578476,3042.4101154654877,784130.8743978116,0.0762912074632637,0.0010068290788351,161.4990234375,1.0326179,1855.7161,blues
3,0.40485436,0.09399866,0.14104027,0.006347602,1070.1534179991847,184366.0093845834,1596.422564648525,166551.8443226404,2184.8790286035382,1493077.8489404472,0.0333088626256767,0.0004227589870948,172.265625,0.068925865,3564.2046,blues
4,0.30852598,0.08784315,0.09150122,0.002305285,1835.1285128875493,343249.49574738194,1748.4107586184412,88378.70449170569,3579.9574708164155,1572336.2989541132,0.1014605387180974,0.0019541247020998,135.99917763157896,-8.460349,2631.7998,blues
5,0.30252185,0.087551296,0.103452876,0.0039811623,1832.011596979316,1030483.8309652422,1729.5808045469614,201846.07407526343,3481.4676306917054,3274386.1962247384,0.0940415337393658,0.0062331956148022,112.34714673913044,-7.1014657,3047.752,blues
6,0.29142597,0.09398485,0.14175196,0.008782076,1459.4696906334664,438024.9981457745,1389.068445560962,185156.3211962846,2795.910729498985,1621507.809656879,0.0730522374081593,0.0019091706678011,123.046875,-7.859532,3572.022,blues
7,0.30737153,0.09285334,0.13176751,0.0055319313,1451.8594135288934,449601.6407097198,1577.5671155774064,168197.59948964932,2955.3197165929523,1629557.4144231493,0.0614422461088553,0.0018488162723341,92.28515625,-5.965395,3253.1326,blues
8,0.40891296,0.086500056,0.14232728,0.0015031187,1719.4633657482495,163308.43298305827,2031.8293659086537,105565.9242806774,3782.441190998405,1262984.5682501604,0.0640248876160092,0.0007314817438538,83.35433467741936,1.9989343,1943.9468,blues
9,0.27396762,0.09231063,0.08128055,0.004346177,1817.230590319968,298141.4244144362,1973.7920387975744,114140.14449366284,3943.8319655416185,1366784.3467715925,0.0791748235692188,0.0013776590528174,129.19921875,-5.11716,3547.2375,blues
10,0.30396983,0.09469685,0.14278811,0.009196652,1410.0234233871572,205639.17028948257,1512.3046546445703,145026.06084901487,2765.967419971723,1427723.4149127428,0.0629588257685614,0.0004415341143935,161.4990234375,-3.6829484,3138.8103,blues
11,0.36588737,0.10200271,0.06570574,0.002499327,1352.7427099786896,511953.35535614414,1756.8820972445817,220316.5829308348,2880.9110920279877,2932944.116679484,0.0439305847592807,0.0018957123722602,161.4990234375,-6.607402,5426.001,blues
12,0.26933804,0.0939012,0.118989594,0.004055326,1360.685601396563,257080.63359460744,1567.2994687681546,44995.603798173855,2738.8302548578886,953044.8055650129,0.069095006767208,0.0023805623438264,92.28515625,-2.9918156,3666.8943,blues
